Brand,CPU,GPU,RAM,Monitor,Resolution,Storage,OS,Weight,Price
Acer,Intel Core i7-11800H,NVIDIA GeForce RTX 3050 Ti,16GB,15.6 Inches,1920 x 1080,512GB NVMe SSD,Windows 11 Home,5 - 5.9 lbs.,946.79
Lenovo,Intel Core i7 12th Gen i7-12800H Tetradeca-core (14 Core) 2.40 GHz,NVIDIA RTX A1000 with 4 GB In-plane Switching,16 GB,16 Inches,2560 x 1600,512 GB SSD,Windows 11 Pro,,2271.95
DELL,Intel Core i5-1335U,Intel HD Graphics,8GB,13.3 Inches,1920 x 1080,256GB SSD,Windows 11 Pro,,1311.21
Dell,AMD Athlon Silver 7120C Dual-core (2 Core) 2.40 GHz,AMD Radeon 610M Graphic,4 GB,14 Inches,1366 x 768,32 GB Flash Memory,ChromeOS,,414.11
Lenovo,Intel Core i7-1265U,Intel HD Graphics,16 GB,14 Inches,1920 x 1200,512 GB SSD,Windows 10 Home,,1299.99
Lenovo,AMD Ryzen 5 PRO 6650U,AMD Radeon Graphics,32 GB,16 Inches,1920 x 1200,1 TB SSD,Windows 11 Pro,,1642.97
Lenovo,Intel Core i7-1255U,Intel Iris Xe,12GB,15.6 Inches,1920x1080,512GB PCIe NVMe SSD,Windows 11 Pro,,869.0
Lenovo,Intel Core i7 13th Gen i7-13800H Tetradeca-core (14 Core) 2.50 GHz,NVIDIA RTX A1000 with 6 GB In-plane Switching,32 GB,16 Inches,1920 x 1200,1 TB SSD,Windows 11 Pro,,2569.97
MSI,Intel Core i7 12th Gen i7-12650H Deca-core (10 Core) 1.70 GHz,NVIDIA GeForce RTX 4060 with 8 GB In-plane Switching,16 GB,15.6 Inches,1920 x 1080,1 TB SSD,Windows 11 Pro,,1349.99
DELL,Intel Core i7-1365U,Intel HD Graphics,16GB,13.3 Inches,1920 x 1080,512GB SSD,Windows 11 Pro,,1844.21
ASUS,Intel Core i7 1065G7,Intel HD Graphics,16GB,15.6 Inches,1920 x 1080 (Full HD),1TB SSD,Windows 10 Home,,879.0
Lenovo,Intel Core i7 13th Gen i7-1355U Deca-core (10 Core) 1.70 GHz,Intel Iris Xe Graphics,16 GB,14 Inches,1920 x 1200,512 GB SSD,Windows 11 Pro,,952.05
Lenovo,Intel Core i5 11th Gen 11300H (3.10 GHz),NVIDIA GeForce RTX 3050,8GB,15.6 Inches,1920 x 1080 IPS,256 GB PCIe SSD,Windows 11 Home,4.96 lbs.,679.99
Lenovo,Intel Core i5-1135G7,Intel Iris Xe Graphics,16 GB,15.6 Inches,1920 x 1080,1 TB SSD,Windows 10 Pro,,638.55
Lenovo,AMD Ryzen 3 3200U (2.1GHz),AMD Radeon Graphics,8GB,14 Inches,1920 x 1080,128GB SSD,Windows 10 Home,,199.0
Lenovo,Intel Core i3-1115G4,Intel UHD Graphics,16GB,15.6 Inches,1920 x 1080,512GB SSD,Windows 11 Home,,439.99
Lenovo,Intel Core i7 13th Gen i7-1365U (10 Core),Intel Iris Xe Graphics,16 GB,14 Inches,1920 x 1200,512 GB SSD,Windows 11 Pro,,2249.99
MSI,Intel Core i5-11400H,NVIDIA GeForce RTX 3050,16GB,15.6 Inches,1920 x 1080,512GB SSD,Windows 11 Home,,769.79
HP,Intel Core i5-13420H,NVIDIA GeForce RTX 3050,32GB,15.6 Inches,1920 x 1080,1TB SSD,Windows 11 Home,5 - 5.9 lbs.,829.99
Dell,Intel Core i7-1355U Processor,Intel Iris Xe Graphics,32GB,15.6 Inches,1920 x 1080,32GB DDR4 2666MHz RAM,Windows 11,,962.0
