Brand,CPU,GPU,RAM,Monitor,Resolution,Storage,OS,Weight,Price
ASUS,AMD Ryzen 7 6000 Series 6800H (3.20GHz),NVIDIA GeForce RTX 3050 Ti,16 GB,16 Inches,3840 x 2400,1 TB PCIe SSD,Windows 11 Home,4.41 lbs.,1049.99
LG,Intel Core i7 12th Gen 1260P (2.10GHz),Intel Iris Xe Graphics,16GB,17.0 Inches,2560 x 1600,1TB PCIe SSD,Windows 11 Pro,2.98 lbs.,1249.99
Samsung,Intel Core i5 13th Gen i5-1335U Deca-core (10 Core) 1.30 GHz,Intel Iris Xe Graphics,16 GB,15.6 Inches,1920 x 1080,512 GB SSD,Windows 11 Pro,,999.99
Lenovo,Intel Core i5 13th Gen i5-1335U Deca-core (10 Core) 1.30 GHz,Intel Iris Xe Graphics,8 GB,14 Inches,1920 x 1080,256 GB SSD,Windows 11 Pro,,689.99
Samsung,Intel Core i7 13th Gen 2.20GHz,Intel Iris Xe Graphics,16GB,14 Inches,2880 x 1800,1TB SSD,Windows 11 Pro,2.58 lbs.,1659.99
ASUS,Intel Core i5-13500H Processor,Intel HD Graphics,8GB,16 Inches,1920 x 1200,512GB SSD,Windows 11 Home,,799.99
Lenovo,AMD Ryzen 5 7000 Series 7530U (2.00GHz),AMD Radeon Graphics,16GB,15.6 Inches,1920 x 1080,512GB SSD,Windows 11 Home,3.56 lbs.,617.99
Acer,Intel Core i7 13th Gen 13700H (2.40GHz),Intel Iris Xe Graphics,16 GB,16 Inches,3200 x 2000,1 TB PCIe SSD,Windows 11 Home,3.53 lbs.,1163.99
Acer,Intel Core i5 13th Gen 1335U (1.30GHz),Intel Iris Xe Graphics,8 GB,16 Inches,1920 x 1200,512 GB SSD,Windows 11 Home,3.53 lbs.,799.99
Acer,Intel Core i7 12th Gen 12700H (2.30GHz),NVIDIA GeForce RTX 3070 Ti,32 GB,16.0 Inches,3072 x 1920,1 TB PCIe SSD,Windows 11 Pro 64-bit,5.29 lbs.,2499.99
ASUS,AMD Ryzen 7 7730U CPU,  AMD Radeon Graphics,16GB,15.6 Inches,1920 x 1080,1TB SSD,Windows 11 Home,3.75 lbs.,799.99
ASUS,AMD Ryzen 9 7940HS,  AMD Radeon Graphics,16GB,16 Inches,1920 x 1200,1TB SSD,Windows 11 Home,,799.99
ASUS,Intel Core i9-13980HX Processor,NVIDIA Geforce RTX 4070 Laptop GPU,32GB DDR5 SO-DIMM Memory,16 Inches,3200 x 2000,1TB SSD,Windows 11 Home,,2541.17
ASUS,Intel Core i9-13980HX Processor,NVIDIA GeForce RTX 4060,32GB DDR5 SO-DIMM,16 Inches,3200 x 2000,1TB SSD,Windows 11 Home,,2089.99
